,title,track_artist,album,labels,release_year,instruments,genre,format,countries_of_release,catalog_numbers,requires_manual_check,duration
0,Girl Talk,Greg Phillinganes,Girl Talk,Planet (15),1981,"Main, Producer","Funk / Soul, Electronic",Vinyl,US,"P-47938, P-49738",False,3:43
1,Maxxed Out ,Greg Phillinganes,Girl Talk,Planet (15),1981,Main,Rock,Vinyl,US,P-49738,False,5:02
2,"Baby, I Do Love You",Greg Phillinganes,"Baby, I Do Love You",Planet (15),1981,"Main, Producer","Funk / Soul, Electronic",Vinyl,US,"P-47928, AS-11493, P-47928-A",False,4:15
3,Do It All For Love,Greg Phillinganes,"Baby, I Do Love You",Planet (15),1981,"Main, Producer","Funk / Soul, Electronic",Vinyl,US,P-47928-A,False,4:26
4,Takin' It Up All Night,Greg Phillinganes,Takin' It Up All Night,Planet (15),1981,"Main, Producer","Rock, Funk / Soul",Vinyl,US,"AS-11514, P-47935",False,4:50
5,Takin' It Up All NIght,Greg Phillinganes,Takin' It Up All Night,Planet (15),1981,Main,Rock,Vinyl,US,P-47935,False,4:25
6,I Don't Want To Be The One ,Greg Phillinganes,Takin' It Up All Night,Planet (15),1981,Main,Rock,Vinyl,US,P-47935,False,4:01
7,Girl Talk,Greg Phillinganes,Significant Gains,"BMG, Planet (15), Sony Records Int'l","2016, 2001, 1981","Producer, Lead Vocals, Keyboards, Synthesizer, Synthesizer [Fairlight Computer Synthesizer], Main","Funk / Soul, Jazz","Vinyl, CD","Japan, US","P-17, 74321-88241-2, BVCM-37236, SICJ 142, P-11043Q",False,4:29
8,Baby I Do Love You,Greg Phillinganes,Significant Gains,"Planet (15), Sony Records Int'l","2016, 1981","Written-By, Producer, Lead Vocals, Keyboards, Synthesizer, Synthesizer [Fairlight Computer Synthesizer], Main","Funk / Soul, Jazz","Vinyl, CD","Japan, US","P-11043Q, P-17, SICJ 142",False,4:14
9,Takin It Up All Night,Greg Phillinganes,Significant Gains,"Planet (15), Sony Records Int'l","2016, 1981","Written-By, Producer, Lead Vocals, Keyboards, Synthesizer, Synthesizer [Fairlight Computer Synthesizer], Main","Funk / Soul, Jazz","Vinyl, CD","Japan, US","P-11043Q, P-17, SICJ 142",False,4:25
10,Forever Now,Greg Phillinganes,Significant Gains,"BMG, Planet (15), Sony Records Int'l","2016, 2001, 1981","Written-By, Backing Vocals, Producer, Lead Vocals, Keyboards, Synthesizer, Synthesizer [Fairlight Computer Synthesizer], Main","Funk / Soul, Jazz","Vinyl, CD","Japan, US","P-17, 74321-88241-2, BVCM-37236, SICJ 142, P-11043Q",False,5:55
11,Big Man,Greg Phillinganes,Significant Gains,"BMG, Planet (15), Sony Records Int'l","2016, 2001, 1981","Producer, Lead Vocals, Keyboards, Synthesizer, Synthesizer [Fairlight Computer Synthesizer], Main, Backing Vocals","Funk / Soul, Jazz","Vinyl, CD","Japan, US","P-17, 74321-88241-2, BVCM-37236, SICJ 142, P-11043Q",False,4:34
12,I Dont Want To Be The One,Greg Phillinganes,Significant Gains,"Planet (15), Sony Records Int'l","2016, 1981","Written-By, Backing Vocals, Producer, Lead Vocals, Keyboards, Synthesizer, Synthesizer [Fairlight Computer Synthesizer], Main","Funk / Soul, Jazz","Vinyl, CD","Japan, US","P-11043Q, P-17, SICJ 142",False,4:01
13,Maxxed Out,Greg Phillinganes,Significant Gains,"BMG, Planet (15), Sony Records Int'l","2016, 2001, 1981","Producer, Lead Vocals, Keyboards, Synthesizer, Synthesizer [Fairlight Computer Synthesizer], Main, Written-By, Vocoder [Solo]","Funk / Soul, Jazz","Vinyl, CD","Japan, US","P-17, 74321-88241-2, BVCM-37236, SICJ 142, P-11043Q",False,5:02
