,album_title,track_specific_info,version_ids,has_track_specific_info_in_release_credits,title,track_artist,album,labels,release_year,instruments,genre,format,countries_of_release,catalog_numbers,requires_manual_check,id_str,url,position,release_id,duration
0,Girl Talk,,"21792616, 10245075",False,Girl Talk,Greg Phillinganes,Girl Talk,Planet (15),1981,"Producer, Main","Funk / Soul, Electronic",Vinyl,US,P-47938,False,Girl Talk in Girl Talk,https://www.discogs.com/release/10245075-Greg-Phillinganes-Girl-Talk,A,10245075,3:43
1,Girl Talk,,"21792616, 10245075",False,Girl Talk,Greg Phillinganes,Girl Talk,Planet (15),1981,"Producer, Main","Funk / Soul, Electronic",Vinyl,US,P-47938,False,Girl Talk in Girl Talk,https://www.discogs.com/release/10245075-Greg-Phillinganes-Girl-Talk,B,10245075,3:43
2,"Baby, I Do Love You",,"10694085, 648041, 3597653",False,"Baby, I Do Love You",Greg Phillinganes,"Baby, I Do Love You",Planet (15),1981,"Producer, Written-By, Main","Funk / Soul, Electronic",Vinyl,US,P-47928,False,"Baby, I Do Love You in Baby, I Do Love You",https://www.discogs.com/release/648041-Greg-Phillinganes-Baby-I-Do-Love-You,A,648041,4:15
3,"Baby, I Do Love You",,"10694085, 648041, 3597653",False,"Baby, I Do Love You",Greg Phillinganes,"Baby, I Do Love You",Planet (15),1981,"Producer, Written-By, Main","Funk / Soul, Electronic",Vinyl,US,P-47928,False,"Baby, I Do Love You in Baby, I Do Love You",https://www.discogs.com/release/648041-Greg-Phillinganes-Baby-I-Do-Love-You,AA,648041,4:15
4,Takin' It Up All Night,,"7377370, 1998347, 21399574",False,Takin' It Up All Night,Greg Phillinganes,Takin' It Up All Night,Planet (15),1981,"Producer, Written-By, Main","Funk / Soul, Rock",Vinyl,US,AS-11514,False,Takin' It Up All Night in Takin' It Up All Night,https://www.discogs.com/release/1998347-Greg-Phillinganes-Takin-It-Up-All-Night,A,1998347,4:50
5,Takin' It Up All Night,,"7377370, 1998347, 21399574",False,Takin' It Up All Night,Greg Phillinganes,Takin' It Up All Night,Planet (15),1981,"Producer, Written-By, Main","Funk / Soul, Rock",Vinyl,US,AS-11514,False,Takin' It Up All Night in Takin' It Up All Night,https://www.discogs.com/release/1998347-Greg-Phillinganes-Takin-It-Up-All-Night,B,1998347,4:50
6,Significant Gains,,"16016834, 9028853, 22826456, 4047354, 2993115, 1515742",False,Baby I Do Love You,Greg Phillinganes,Significant Gains,Planet (15),1981,"Main, Producer, Lead Vocals, Keyboards, Synthesizer, Synthesizer [Fairlight Computer Synthesizer]","Funk / Soul, Jazz",Vinyl,US,P-17,False,Baby I Do Love You in Significant Gains,https://www.discogs.com/release/1515742-Greg-Phillinganes-Significant-Gains,A2,1515742,4:14
7,Significant Gains,,"16016834, 9028853, 22826456, 4047354, 2993115, 1515742",False,Big Man,Greg Phillinganes,Significant Gains,Planet (15),1981,"Main, Producer, Lead Vocals, Keyboards, Synthesizer, Synthesizer [Fairlight Computer Synthesizer]","Funk / Soul, Jazz",Vinyl,US,P-17,False,Big Man in Significant Gains,https://www.discogs.com/release/1515742-Greg-Phillinganes-Significant-Gains,B1,1515742,4:34
8,Significant Gains,,"16016834, 9028853, 22826456, 4047354, 2993115, 1515742",False,Do It All For Love,Greg Phillinganes,Significant Gains,Planet (15),1981,"Main, Producer, Lead Vocals, Keyboards, Synthesizer, Synthesizer [Fairlight Computer Synthesizer]","Funk / Soul, Jazz",Vinyl,US,P-17,False,Do It All For Love in Significant Gains,https://www.discogs.com/release/1515742-Greg-Phillinganes-Significant-Gains,B4,1515742,4:27
9,Significant Gains,,"16016834, 9028853, 22826456, 4047354, 2993115, 1515742",False,Forever Now,Greg Phillinganes,Significant Gains,Planet (15),1981,"Main, Producer, Lead Vocals, Keyboards, Synthesizer, Synthesizer [Fairlight Computer Synthesizer]","Funk / Soul, Jazz",Vinyl,US,P-17,False,Forever Now in Significant Gains,https://www.discogs.com/release/1515742-Greg-Phillinganes-Significant-Gains,A4,1515742,5:55
