,release_id,position,type_,title_track,duration,track_role,track_extraartists,track_artists,label,country,title_release,major_formats,catno,released,resource_url,thumb,year,uri,artists,series,formats,data_quality,format_quantity,date_added,date_changed,num_for_sale,lowest_price,master_id,master_url,notes,released_formatted,identifiers,genres,styles,estimated_weight,blocked_from_sale,type,role,artist,trackinfo,release_role
11,523162,12,track,Don't Give Up,4:02,Keyboards,"('Jackie Simley', 250049);('Sue Ann Carwell', 126063);('Neil Stubenhaus', 254956);('Dave Koz', 289337);('Burt Bacharach', 58359);('John Robinson (2)', 310251);('Dean Parks', 253490);('Michael Thompson', 84145);('Greg Phillinganes', 108475);('Lenny Castro', 252196);('Nick Lane', 327109);('Wayne Bergeron', 309770)",,Capitol Records,US,The Dance,['CD'],CDP 7243 4 99458 2 1,1999-09-28,https://api.discogs.com/releases/523162,https://i.discogs.com/598PsBh6OHG4JarxRCHzr8Q2XUOGaQUSY6Prwd4npv4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUyMzE2/Mi0xMzQxMzI3NjY5/LTcxNjIuanBlZw.jpeg,1999,https://www.discogs.com/release/523162-Dave-Koz-The-Dance,"[('Dave Koz', 289337)]",[],['CD'],Needs Vote,1,2006-07-12T09:42:41-07:00,2022-03-27T06:48:43-07:00,17,1.0,451855.0,https://api.discogs.com/masters/451855,"Recorded at The Loft, Bronxville, NY;The Hit Factory, New York, NY;Chicago Recording Co., Chicago, IL; Sunset Sound, Ocean Way Studios, Paramount Recording, Westlake Audio & Java Studios, Los Angeles, CA; JHL Sound Pacific Palisades, CA; HUM Music & Sound Design, Santa Monica, CA; 29th Street Stdio, Torrance, CA; O'Henry Studios, Burbank, CA; Coal Mine, North Hollywood, CA.
Mixed at Conway Recording Studios, Hollywood, CA
Mastered at Future Disc Systems, Los Angeles, CA

℗©1999 Capitol Records, Inc.

Printed in U.S.A.",28 Sep 1999,"[{'type': 'Barcode', 'value': 'D131546', 'description': 'Code 39'}, {'type': 'Matrix / Runout', 'value': '724 349945821RE1: MASTERED BY EMI MFG. ifpi 1683 IFPI L044 2-1-1'}, {'type': 'Mastering SID Code', 'value': 'IFPI L044'}, {'type': 'Mould SID Code', 'value': 'ifpi 1683'}]",['Jazz'],['Smooth Jazz'],85.0,False,,,,,
14,20777344,A1,track,Together Again,4:17,unknown,,,EMI,Lebanon,The Dance,['Cassette'],94584 5,1999,https://api.discogs.com/releases/20777344,https://i.discogs.com/HfBxmTt12KFVvGvBKoEgUC7dU9v9O_vm5Ieap0JqYBE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwNzc3/MzQ0LTE2MzU1OTAz/NDYtODA4NC5qcGVn.jpeg,1999,https://www.discogs.com/release/20777344-Dave-Koz-The-Dance,"[('Dave Koz', 289337)]",[],['Cassette'],Needs Vote,1,2021-10-29T12:47:13-07:00,2021-10-30T03:42:01-07:00,1,10.0,451855.0,https://api.discogs.com/masters/451855,,1999,"[{'type': 'Barcode', 'value': '724349945845'}, {'type': 'Other', 'value': 'B-524 on Spine'}]",['Jazz'],['Smooth Jazz'],65.0,False,,,,,
15,20777344,A2,track,I Am Waiting For You,3:18,unknown,,,EMI,Lebanon,The Dance,['Cassette'],94584 5,1999,https://api.discogs.com/releases/20777344,https://i.discogs.com/HfBxmTt12KFVvGvBKoEgUC7dU9v9O_vm5Ieap0JqYBE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwNzc3/MzQ0LTE2MzU1OTAz/NDYtODA4NC5qcGVn.jpeg,1999,https://www.discogs.com/release/20777344-Dave-Koz-The-Dance,"[('Dave Koz', 289337)]",[],['Cassette'],Needs Vote,1,2021-10-29T12:47:13-07:00,2021-10-30T03:42:01-07:00,1,10.0,451855.0,https://api.discogs.com/masters/451855,,1999,"[{'type': 'Barcode', 'value': '724349945845'}, {'type': 'Other', 'value': 'B-524 on Spine'}]",['Jazz'],['Smooth Jazz'],65.0,False,,,,,
16,20777344,A3,track,Can't Let You Go (The Sha La Song),4:17,unknown,,,EMI,Lebanon,The Dance,['Cassette'],94584 5,1999,https://api.discogs.com/releases/20777344,https://i.discogs.com/HfBxmTt12KFVvGvBKoEgUC7dU9v9O_vm5Ieap0JqYBE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwNzc3/MzQ0LTE2MzU1OTAz/NDYtODA4NC5qcGVn.jpeg,1999,https://www.discogs.com/release/20777344-Dave-Koz-The-Dance,"[('Dave Koz', 289337)]",[],['Cassette'],Needs Vote,1,2021-10-29T12:47:13-07:00,2021-10-30T03:42:01-07:00,1,10.0,451855.0,https://api.discogs.com/masters/451855,,1999,"[{'type': 'Barcode', 'value': '724349945845'}, {'type': 'Other', 'value': 'B-524 on Spine'}]",['Jazz'],['Smooth Jazz'],65.0,False,,,,,
17,20777344,A4,track,Careless Whisper,6:11,unknown,,,EMI,Lebanon,The Dance,['Cassette'],94584 5,1999,https://api.discogs.com/releases/20777344,https://i.discogs.com/HfBxmTt12KFVvGvBKoEgUC7dU9v9O_vm5Ieap0JqYBE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwNzc3/MzQ0LTE2MzU1OTAz/NDYtODA4NC5qcGVn.jpeg,1999,https://www.discogs.com/release/20777344-Dave-Koz-The-Dance,"[('Dave Koz', 289337)]",[],['Cassette'],Needs Vote,1,2021-10-29T12:47:13-07:00,2021-10-30T03:42:01-07:00,1,10.0,451855.0,https://api.discogs.com/masters/451855,,1999,"[{'type': 'Barcode', 'value': '724349945845'}, {'type': 'Other', 'value': 'B-524 on Spine'}]",['Jazz'],['Smooth Jazz'],65.0,False,,,,,
18,20777344,A5,track,Love Is On The Way,4:45,unknown,,,EMI,Lebanon,The Dance,['Cassette'],94584 5,1999,https://api.discogs.com/releases/20777344,https://i.discogs.com/HfBxmTt12KFVvGvBKoEgUC7dU9v9O_vm5Ieap0JqYBE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwNzc3/MzQ0LTE2MzU1OTAz/NDYtODA4NC5qcGVn.jpeg,1999,https://www.discogs.com/release/20777344-Dave-Koz-The-Dance,"[('Dave Koz', 289337)]",[],['Cassette'],Needs Vote,1,2021-10-29T12:47:13-07:00,2021-10-30T03:42:01-07:00,1,10.0,451855.0,https://api.discogs.com/masters/451855,,1999,"[{'type': 'Barcode', 'value': '724349945845'}, {'type': 'Other', 'value': 'B-524 on Spine'}]",['Jazz'],['Smooth Jazz'],65.0,False,,,,,
19,20777344,A6,track,Know You By Heart,3:39,unknown,,,EMI,Lebanon,The Dance,['Cassette'],94584 5,1999,https://api.discogs.com/releases/20777344,https://i.discogs.com/HfBxmTt12KFVvGvBKoEgUC7dU9v9O_vm5Ieap0JqYBE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwNzc3/MzQ0LTE2MzU1OTAz/NDYtODA4NC5qcGVn.jpeg,1999,https://www.discogs.com/release/20777344-Dave-Koz-The-Dance,"[('Dave Koz', 289337)]",[],['Cassette'],Needs Vote,1,2021-10-29T12:47:13-07:00,2021-10-30T03:42:01-07:00,1,10.0,451855.0,https://api.discogs.com/masters/451855,,1999,"[{'type': 'Barcode', 'value': '724349945845'}, {'type': 'Other', 'value': 'B-524 on Spine'}]",['Jazz'],['Smooth Jazz'],65.0,False,,,,,
20,20777344,A7,track,Surrender,4:43,unknown,,,EMI,Lebanon,The Dance,['Cassette'],94584 5,1999,https://api.discogs.com/releases/20777344,https://i.discogs.com/HfBxmTt12KFVvGvBKoEgUC7dU9v9O_vm5Ieap0JqYBE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwNzc3/MzQ0LTE2MzU1OTAz/NDYtODA4NC5qcGVn.jpeg,1999,https://www.discogs.com/release/20777344-Dave-Koz-The-Dance,"[('Dave Koz', 289337)]",[],['Cassette'],Needs Vote,1,2021-10-29T12:47:13-07:00,2021-10-30T03:42:01-07:00,1,10.0,451855.0,https://api.discogs.com/masters/451855,,1999,"[{'type': 'Barcode', 'value': '724349945845'}, {'type': 'Other', 'value': 'B-524 on Spine'}]",['Jazz'],['Smooth Jazz'],65.0,False,,,,,
21,20777344,B1,track,"You Are Me, I Am You",4:52,unknown,,,EMI,Lebanon,The Dance,['Cassette'],94584 5,1999,https://api.discogs.com/releases/20777344,https://i.discogs.com/HfBxmTt12KFVvGvBKoEgUC7dU9v9O_vm5Ieap0JqYBE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwNzc3/MzQ0LTE2MzU1OTAz/NDYtODA4NC5qcGVn.jpeg,1999,https://www.discogs.com/release/20777344-Dave-Koz-The-Dance,"[('Dave Koz', 289337)]",[],['Cassette'],Needs Vote,1,2021-10-29T12:47:13-07:00,2021-10-30T03:42:01-07:00,1,10.0,451855.0,https://api.discogs.com/masters/451855,,1999,"[{'type': 'Barcode', 'value': '724349945845'}, {'type': 'Other', 'value': 'B-524 on Spine'}]",['Jazz'],['Smooth Jazz'],65.0,False,,,,,
22,20777344,B2,track,The Dance,5:19,unknown,,,EMI,Lebanon,The Dance,['Cassette'],94584 5,1999,https://api.discogs.com/releases/20777344,https://i.discogs.com/HfBxmTt12KFVvGvBKoEgUC7dU9v9O_vm5Ieap0JqYBE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwNzc3/MzQ0LTE2MzU1OTAz/NDYtODA4NC5qcGVn.jpeg,1999,https://www.discogs.com/release/20777344-Dave-Koz-The-Dance,"[('Dave Koz', 289337)]",[],['Cassette'],Needs Vote,1,2021-10-29T12:47:13-07:00,2021-10-30T03:42:01-07:00,1,10.0,451855.0,https://api.discogs.com/masters/451855,,1999,"[{'type': 'Barcode', 'value': '724349945845'}, {'type': 'Other', 'value': 'B-524 on Spine'}]",['Jazz'],['Smooth Jazz'],65.0,False,,,,,
